"Crude oil production, per capita (toe)",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,35.7251470942216,42.4362270828029,46.8200397743508,67.5490023510985,77.2559674115885,80.0124984327984,62.832046344368,49.2264398007834,46.2101394632024,31.1420995671876,29.0072225861459,36.3456950005831,37.1475572540566,34.1871007651946,34.566014268197,28.8237791632136,18.3790986076536,16.3818516903343,15.3074696197243,13.010160245917,12.5697446764131,12.640708320188,11.6091014643889,11.9382914389836,12.9171649605349,15.5133633193013,15.3538091663426,15.454448379411,14.3786082799951,14.4012403867885,14.2183561215304,14.1046405267324,14.156655054402,13.8047077763388,13.0453037451024,13.2943260531283,12.5811208892339,11.887933540285,12.6023456524704,13.5416859020955,14.1971964109544,14.4067318065932,14.1175462289086,13.8668883199287,12.3084276609269,12.1860716507339,3.49256849750327
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,,,,0.018467536475188,0.040407720110214,0.078826640221382,0.294775614430982,0.38872612521923,0.370222428199226,0.321755344449321,0.380251568195312,0.634926696945175,0.678162495955438,0.782282269156098,0.997695737124087,0.95585811133188,0.872693340322888,0.998721249409235,1.2323385583126,1.39355963870628,1.348728729992,1.47269948636009,1.41307302562182,1.49559464493546,1.57998351151389,1.62285876142424,1.64479285621217,1.62799460798423,1.55200979899721,1.53986975047068,1.60819376127498,1.59051277136594,1.53789300233098,1.52416699335972,1.41742433059765,1.36670443754037,1.30150118159569,1.33020840297292,1.37350998822801,1.38743904679129,1.25035222753426,1.1632300736988,1.17103240285279,1.16542916553064,1.09447647101182,1.05014959369448,0.921243610518098
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,0.402105241930148,0.399947122834285,0.430162127988072,0.44746517269353,0.455923952716527,0.466161230796961,0.451093613193598,0.455647607008803,0.455498475650396,0.554197621520088,0.666749013264138,0.722514310392915,0.853151860557263,1.01880247929241,1.2011443347193,1.55849805217708,1.82022578682568,2.10357535523135,2.00925766791189,1.98613504730846,1.91471701918103,1.76073848007218,1.80238683712836,1.76139667440324,1.73063205956303,1.72191376952378,1.77852117667565,1.74846743251585,1.72009088698442,1.69997476898879,1.62792716496198,1.72983695609356,1.77721172207221,1.78835800254918,1.67989029090625,1.71483621124147,1.74515467596379,1.74029454075489,1.81859425410934,1.8146780445581,1.75874624557266,1.69958783566238,1.5833149031191,1.4250505462304,1.31603712008767,1.28968325631499,1.26412061069797
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigeria,0.263628089840908,0.393369589694045,0.293573181862981,0.12720676535822,0.4747862746712,0.930926575677417,1.28373653270414,1.49183754321297,1.64085313183258,1.75377081612514,1.34976470929555,1.52521428736007,1.49496644317356,1.31110523139448,1.5470016577364,1.3462408535569,0.914012452489584,0.79803566547834,0.745785274835747,0.819163498618779,0.860287711386928,0.82061317993156,0.734637033523574,0.792129437557692,0.913562467661473,0.938882083670569,0.959493572996877,0.967534243166619,0.940749929438733,0.90355027478548,0.886195945039264,0.932396865085033,0.982070885693816,0.89852139410782,0.834405568606811,0.852022729047428,0.874425478452137,0.787813374507468,0.829002208028698,0.88492020094445,0.888411630786892,0.835307019952945,0.776465101009485,0.698918554587802,0.657241030928116,0.740034236261742,0.722844921288903
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,0.074947266897675,0.410393691939477,0.394215866617019,0.428535974305913,2.30144136091417,3.39036699528454,3.46355557257805,4.28041291916033,4.78838026799773,6.13116839795845,5.92684183664397,6.13671683449408,7.6123097655208,8.68860885295886,9.44256581510386,10.3248605413176,11.9762186638121,13.5590517453889,17.7455067309246,19.3665783312506,22.013544878961,24.9440460315539,26.4837711677399,29.6688990272217,31.7496304931123,35.2700948399713,35.409037324808,33.6994487974493,33.5165613218328,35.6691198953991,35.8946151484524,34.6843667730988,33.5619414060502,32.6753851592485,29.8961699129762,27.5684229930967,25.1116695646855,23.8947669839327,22.506434170615,20.1842444030233,18.9743213771508
Oman,,,4.23850118921587,17.4491751774141,22.8847746410337,22.4713220878106,19.207424107048,17.7945442663804,17.7096626292295,16.7738569210763,18.8003149347674,19.2724051390996,16.8705887182934,14.7371412267496,13.0855790073639,11.9501092084477,13.0472136939112,12.6382667326113,13.8550195412312,14.1387737907718,16.1118975333614,17.3531882725205,17.3858759574878,17.8661675134185,17.8427498122121,18.3288767625635,18.1380248534843,18.2327624462119,18.3528644212093,18.5340184601642,19.1786950131435,19.6414070240853,19.8149456252245,19.7580521824211,19.920797575188,20.4757253276503,20.2436948492651,18.8405579234571,16.9602552068997,16.0139424433474,15.4107802547516,14.3514437627396,13.4725133759164,13.6321300999692,14.2539246447116,14.7201186159829,14.8004011860741
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,0.295995816847398,0.287736135235241,0.314222545692982,0.319028583583188,0.301293279976731,0.293021069217206,0.243769752230123,0.249002701093547,0.263393738061128,0.277491808667775,0.250672542152521,0.258067628360617,0.299501159743766,0.48245526129599,0.597073361642756,0.592757564207514,0.570793387301282,0.562952279522485,0.48044732005127,0.508444877071726,0.506337361536188,0.468814560687445,0.422602911316496,0.356738084554918,0.32126084230388,0.312307299659949,0.273098698203618,0.270932702345414,0.287895854855758,0.284907177776531,0.268896021217921,0.260627141280242,0.25254530849728,0.239443566289811,0.216430012771062,0.199024625516092,0.191726463222415,0.189194722652406,0.175185375836671,0.171268990645529,0.187908454005171,0.192260321172176,0.187832759307063,0.193504963906332,0.231123168455086,0.247344586455367,0.237708424912786
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,158.818269924831,183.033088303992,188.680933175689,183.940568220609,177.542928790178,166.791845397466,181.182277936059,186.28739693952,201.572747484524,169.507161384402,133.670371730222,141.28924671212,119.932902511717,126.751933715619,123.978580648428,106.830371662351,84.2205187114263,61.4302318855009,50.0702417499263,50.6761583445519,41.6238424760433,43.7094783683566,36.3549967616491,39.9319563135469,42.8094059590742,44.587666480368,42.2487802611736,48.3417222726035,44.3881530750488,43.116974647268,43.5430573051503,52.8939620937918,62.9231805071314,61.1333386209395,60.1509038363837,61.1221224817577,58.6945571632725,56.4603168804388,62.398520144727,64.3840725900232,57.5969428403186,52.0353714023641,45.4977467587681,43.5822823665987,36.2178845230235,37.346909144157,37.9952718463599
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0.673654932411461,0.67966243622934,0.690752555299347,0.685505585819602,0.677043908141745,0.675322700263769,0.68835501906445,0.697848317144684,0.701545278452174,0.704748248449314,0.705103532780513,0.703588347196837,0.694592743279261,0.645823004504609,0.576822759693769,0.540551764576532,0.543303612825744,0.545103334782842,0.536292506884521,0.527931828498496,0.494965046393952,0.466404027139418,0.436724728190651,0.42599500400818,0.415144262523375,0.350588120621446,0.302465899861517,0.295827989045655,0.301930538371912,0.305740481394394,0.306468590342364,0.303624013149951,0.300461321636322,0.29290351504332,0.286276028612344,0.283304335232258,0.282262354034548,0.275864813701976,0.268639339918935,0.261155003665783,0.249727295680287,0.230175522657615,0.219220373810239,0.218578030179794,0.20884776256396,0.19952182711543,0.196953839701873
Russia,,,,,,,,,,,,,,,,,,,,,3.77539711405516,3.8783639433166,3.90727345828065,3.87607604692212,3.74158492159421,3.48002439580808,3.10709728013769,2.6784154550314,2.38258194727377,2.1333100247246,2.08979126586565,2.04014003627151,2.07520930607503,2.05984176714363,2.06921566034403,2.20281731803897,2.38153976024725,2.60858255822262,2.90835612907907,3.17936799482093,3.26735199829698,3.34839609163564,3.42864618568526,3.41209954925536,3.45472464824661,3.53341133051057,3.58048106439605
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,23.1895486443031,26.3892725639118,27.5035882346469,28.9400983533336,29.3791552417819,33.2937648572888,39.9423166727224,48.2027273245656,57.9842042197038,61.678674265914,48.922347152447,56.3754248794498,57.1184045011719,48.871893244583,52.9433030294344,52.015482139392,48.4967369279109,30.5740437004225,20.2976896079044,17.4638076959155,13.0157661639934,18.2214839842598,15.2786318597137,18.3785804633453,17.3809291111598,21.2291638457329,25.6965746903532,25.7369610261096,24.4791856555826,24.1334842016865,23.6433498079477,23.7066446869253,23.8264871346894,23.5975449836616,21.573143005801,22.7006783842047,21.2447821375194,19.7604539748499,21.6617605672655,21.7244111934668,21.8322196163055,20.6633415347305,19.3055460255016,19.623493253448,17.2604528429038,16.9976731751875,18.7233883383881
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004329762518872,0.004217502883639,0.004109190973457,0.010038687687056,0.017563344482303,0.022831021605633,0.116919679250926,0.316048203535627,0.383928254831968,0.416701187516593,0.447853340814878,0.49838771208698,0.491742812018528,0.520670226187866,0.717850651699647,0.719707973298498,0.69765090694675,0.670978128397244,0.642394707715859
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,0.176239019292731,0.42877651179282,0.664666210827832,0.801086597587916,0.856859857902933,0.783527399519867,0.880276558429757,1.26696704279761,1.28667867271994,1.13059017525669,1.07021327416521,0.965842351052104,0.885778283875828,0.88576072412268,0.808392251074152,0.810898558649539,0.790634613348059,0.750001747533306,0.913687199278637,1.01914338839258,1.15129698407298,1.41527994077195,1.64110118882577,1.84944692429925,1.96236034360446,2.09304366995277,2.02656961556505,2.08960461607709,2.01072277930477,1.92959420182334,1.88273298861717,1.84626249553008,1.70971422463836,1.75672129811857,1.60468583064436,1.49943063901676,1.36982699810061,1.20955268504346,1.14302003524866,1.06784597689248,1.00746162115854,0.994163582814729,0.937774373311307,0.795360976825419
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,,,,,,,0.00138178074018,0.004883409178165,0.011611525666126,0.020683073168875,0.038413703306116,0.038324408686631,0.034820991125409,0.039096018609493,0.037429728417806,0.044396528498046,0.051312238372876,0.061367645124212,0.063259059027837,0.063232560125915,0.059588294777966,0.067838979410029,0.07954450834804,0.081036244971621,0.087263920110927,0.110614218181273,0.117759961579359,0.126148703304259,0.146717397528006,0.137440190666528,0.162480248607034,0.175030836275381,0.184818322685303,0.194145113694533,0.199261238410459,0.199936210919223,0.20039299488971
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transnistria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,7.46313413274289,8.33525648815232,9.58951295728413,10.0969544940042,8.1437758131882,7.16525285477625,6.53459686414876,7.10485025931258,8.28456034859614,9.26443658265468,10.6060298220276,10.3276985044527,10.9928411950974,10.8940067001709,9.98772242821512,9.76450272540772,8.53206252068339,7.84451807464571,6.96307074147697,7.29764049314382,7.36371984683035,7.00244877556817,6.37581581856304,6.19769011546712,6.07923391850672,6.0674491090339,5.91742633941008,5.63239485398619,5.18875660615938,5.39783188776351,5.33975192359494,5.26117658161095,5.04717893853882,4.99214863585743,5.16333154413045,5.00779226040578,4.82458791000645,5.54212118437266,5.78163790785606,5.33635320961548,6.01934259304762,6.05121012359392,5.23450020032359,4.98102357116761,4.92795257652779,4.68964209755223,4.36720021298235
Tunisia,,0.163226524754859,0.464765930935907,0.64815553945492,0.737652430591622,0.809635106371151,0.78611584351531,0.746620589081204,0.714177453760325,0.746788394919169,0.813231052192883,0.638915682590133,0.722334779345522,0.807840761252663,0.880506965882105,0.871444916690052,0.815762578841711,0.756683028626028,0.793123396495031,0.766280310371492,0.737763031005556,0.69896562407179,0.650896858392429,0.627027342889064,0.616376706577473,0.552274947958707,0.623956267184616,0.612189787980185,0.538919090188352,0.499053829812427,0.475182034672173,0.465459975854402,0.417118217327104,0.432907161003257,0.424248062499045,0.390223598121724,0.351858433703073,0.365158217928251,0.32904142897992,0.343998054210058,0.346949197719074,0.330011523451382,0.454869951417362,0.410817022588822,0.381121281254797,0.359658320145895,0.346789270459844
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,2.09939684142958,1.981837785973,1.90696655852663,1.64410903087246,1.61039254928781,1.55398037077426,1.43146844804962,1.33952503018439,1.0977182140811,1.0235594475123,0.971821939298139,1.02045837443676,1.2380099497439,1.44905015433556,1.58739541068996,1.59060953890318,1.76174502173566,1.95865605325805,2.15236433047786,2.04374452150211,2.00069968674169,1.91592943298693,2.01694107012719,2.09417867176616,2.08849096896342,2.1204305049886,2.09413705558203
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,93.2912574565624,111.091237747272,110.496971362257,133.713171232868,144.098724763293,159.228968553442,196.533574703378,195.524380682935,184.028305531355,174.157543472882,153.936574100035,150.645530767763,133.518412564234,106.925058920931,95.6114671490198,82.9506874372546,67.8221311131173,56.2340530007064,49.9930745062441,46.8619321019476,43.2364635655864,51.3775791640201,49.1677489097152,46.9903614543134,55.5833478308268,59.4926757743406,65.1938218594233,58.7977961798843,54.0082366703678,52.0611635718591,47.8292626880576,47.6068642697141,46.7405214599488,45.4531487118865,41.4985443245584,40.2450198320763,37.4633839301679,33.8507624874223,36.6215146995218,36.0125376396717,33.7345624537861,31.1985169948294,26.0359467020291,23.0222203693005,18.2027695944485,17.4953832651885,19.0211135840314
United Kingdom,0.001545541050591,0.001426846460052,0.001619535042771,0.001521385380772,0.001533104303182,0.002803466738215,0.003797955979505,0.005950179628418,0.006633208785328,0.007299180408857,0.027883362897167,0.21624919826174,0.679775669232618,0.959338649989576,1.3829301998426,1.42917756210232,1.58884797761209,1.83203059467487,2.03904526919947,2.23373906532767,2.25792607054866,2.24410749590678,2.17344580678835,2.01150815556289,1.60730698475046,1.60106339525205,1.59073714769883,1.63842238964143,1.73693053347531,2.18784702173614,2.2396594594809,2.23087999352647,2.19282741743649,2.26769492955703,2.34221391600027,2.14432090760699,1.97434294989186,1.95389377591708,1.77961852346105,1.59243868291259,1.40726397139307,1.26495186179507,1.26169387660026,1.16963649511334,1.10617095238029,1.0149499714438,0.833148676048522
United States,2.14430531081974,2.25395866421449,2.37686155016634,2.44511622563297,2.46354690147487,2.5469661226368,2.48821927852676,2.47546172795997,2.39191107055734,2.26331346098571,2.14406927338422,2.07087631587656,2.07289616078529,2.14776562287572,2.09562281381838,2.0894683323392,2.06355845215383,2.05218093028297,2.0421029706653,2.07768394229207,2.06821013248806,1.98082432101839,1.90004674794631,1.84827512781024,1.71024914332329,1.64444402882142,1.65327297210463,1.59916428832548,1.52230913170611,1.47083852280091,1.44024623039958,1.41830216641035,1.39365363531968,1.33390012851815,1.26245299119415,1.24815424982062,1.22292883989689,1.20238862927412,1.16176907130902,1.11939485294116,1.0555241864621,1.03559401905621,1.02471718545647,0.99985552396248,1.06804175750362,1.09514424443237,1.12516536944314
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,0.127103654901362,0.135773018852969,0.139822273845327,0.124736844876595,0.134771481476009,0.136483848501368,0.133299284887422,0.153487929476668,0.181938752258489,0.245561619497797,0.331030229163933,0.326502438039063,0.33222854326099,0.33886746398611,0.331025161631209,0.302717067309342,0.286552436759902,0.284787023776986,0.279880038409553,0.255871786840831,0.21000165951027,0.206456700609059,0.185935370178344,0.178315852462038,0.164221087218796,0.132969488974593,0.129141409194659
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,20.3048543059947,19.0691829163208,19.4015759815834,19.1700311424893,18.4651681223415,18.4668110364089,17.1896850319759,15.2093116035197,15.3398234311767,13.119146148972,10.0226816570701,9.50168356748452,8.92785805030498,8.30260538226907,8.74320640474791,7.80421651654968,7.3344922719541,6.43916389331445,5.9417333036598,5.80512095703384,5.29864633209943,5.57747095082511,5.50163111326012,5.62184892533574,5.50279512314703,5.98404839817986,6.51327062859546,6.37695539474316,6.4509093253929,6.69826194287917,7.04904629470251,7.34149516034638,7.59360185249933,7.66646610767643,6.73472918425817,6.86977104340475,6.51445806373845,5.88693217965329,5.10479723103941,5.5420184062391,5.7925150165956,5.57218584746911,5.51347160933928,5.49074398003916,5.25547253936367,4.91850059177428,4.74379524568294
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,0.004445367740268,0.010725384655428,0.022677980289943,0.040237500805309,0.057780166543451,0.078442447897604,0.08821452293334,0.097568529042839,0.103394125665182,0.11781587891531,0.132700733607758,0.157101376258692,0.187441667607406,0.205693363760715,0.214518014615556,0.214408273227692,0.217174236433424,0.253236582825162,0.229614443139281,0.206752917691439,0.192891391193056,0.1786337244435,0.193976870346733,0.176747578172841,0.178627587108189
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Yemen (former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,0.047134138574661,0.117949537850816,0.743868722400796,0.745279796049711,0.728680090744029,0.751499874133779,0.661582564415498,0.713543203746518,1.12807445000388,1.09969832644603,1.0768250088816,1.09232986959478,1.07681958352104,1.11371126247199,1.20346969044219,1.17752358960944,1.1442239235826,1.08868543552176,0.992769777693269,0.949506275811553,0.841388531578696,0.732219335600098,0.6569986132095,0.618374092069106,0.58924602692983,0.434133257728872
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
